

Ente;Liste/Gruppi;Voti;
OSTRA VETERE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;52;;
OSTRA VETERE;L'ALTRA EUROPA CON TSIPRAS;27;;
OSTRA VETERE;ITALIA DEI VALORI;13;;
OSTRA VETERE;IO CAMBIO - MAIE;9;;
OSTRA VETERE;SCELTA EUROPEA;8;;
OSTRA VETERE;VERDI EUROPEI-GREEN ITALIA;5;;
POGGIO SAN MARCELLO;PARTITO DEMOCRATICO;194;;
POGGIO SAN MARCELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;92;;
POGGIO SAN MARCELLO;FORZA ITALIA;67;;
POGGIO SAN MARCELLO;L'ALTRA EUROPA CON TSIPRAS;20;;
POGGIO SAN MARCELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
POGGIO SAN MARCELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;13;;
POGGIO SAN MARCELLO;SCELTA EUROPEA;10;;
POGGIO SAN MARCELLO;NUOVO CENTRO DESTRA - UDC;10;;
POGGIO SAN MARCELLO;VERDI EUROPEI-GREEN ITALIA;4;;
POGGIO SAN MARCELLO;IO CAMBIO - MAIE;2;;
POGGIO SAN MARCELLO;ITALIA DEI VALORI;2;;
POLVERIGI;PARTITO DEMOCRATICO;1136;;
POLVERIGI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;845;;
POLVERIGI;FORZA ITALIA;268;;
POLVERIGI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;119;;
POLVERIGI;L'ALTRA EUROPA CON TSIPRAS;86;;
POLVERIGI;NUOVO CENTRO DESTRA - UDC;57;;
POLVERIGI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;54;;
POLVERIGI;VERDI EUROPEI-GREEN ITALIA;32;;
POLVERIGI;ITALIA DEI VALORI;17;;
POLVERIGI;SCELTA EUROPEA;13;;
POLVERIGI;IO CAMBIO - MAIE;3;;
